Epi_Year,Epi_Week,Region,NDVI,Data_Source,Is_Imputed
2022,8,KAB BANTUL,0.703,modis_neo_csv,No
2022,8,KAB GUNUNG KIDUL,0.77,modis_neo_csv,No
2022,8,KAB KULON PROGO,0.743,modis_neo_csv,No
2022,8,KAB SLEMAN,0.652,modis_neo_csv,No
2022,8,KOTA YOGYAKARTA,0.617,modis_neo_csv,No
2022,9,KAB BANTUL,0.703,modis_neo_csv,No
2022,9,KAB GUNUNG KIDUL,0.77,modis_neo_csv,No
2022,9,KAB KULON PROGO,0.743,modis_neo_csv,No
2022,9,KAB SLEMAN,0.652,modis_neo_csv,No
2022,9,KOTA YOGYAKARTA,0.617,modis_neo_csv,No
2022,10,KAB BANTUL,0.739,modis_neo_csv,No
2022,10,KAB GUNUNG KIDUL,0.794,modis_neo_csv,No
2022,10,KAB KULON PROGO,0.825,modis_neo_csv,No
2022,10,KAB SLEMAN,0.719,modis_neo_csv,No
2022,10,KOTA YOGYAKARTA,0.715,modis_neo_csv,No
2022,11,KAB BANTUL,0.739,modis_neo_csv,No
2022,11,KAB GUNUNG KIDUL,0.794,modis_neo_csv,No
2022,11,KAB KULON PROGO,0.825,modis_neo_csv,No
2022,11,KAB SLEMAN,0.719,modis_neo_csv,No
2022,11,KOTA YOGYAKARTA,0.715,modis_neo_csv,No
2022,12,KAB BANTUL,0.739,modis_neo_csv,No
2022,12,KAB GUNUNG KIDUL,0.794,modis_neo_csv,No
2022,12,KAB KULON PROGO,0.825,modis_neo_csv,No
2022,12,KAB SLEMAN,0.719,modis_neo_csv,No
2022,12,KOTA YOGYAKARTA,0.715,modis_neo_csv,No
2022,13,KAB BANTUL,0.668,modis_neo_csv,No
2022,13,KAB GUNUNG KIDUL,0.809,modis_neo_csv,No
2022,13,KAB KULON PROGO,0.699,modis_neo_csv,No
2022,13,KAB SLEMAN,0.624,modis_neo_csv,No
2022,13,KOTA YOGYAKARTA,0.605,modis_neo_csv,No
2022,14,KAB BANTUL,0.668,modis_neo_csv,No
2022,14,KAB GUNUNG KIDUL,0.809,modis_neo_csv,No
2022,14,KAB KULON PROGO,0.699,modis_neo_csv,No
2022,14,KAB SLEMAN,0.624,modis_neo_csv,No
2022,14,KOTA YOGYAKARTA,0.605,modis_neo_csv,No
2022,15,KAB BANTUL,0.652,modis_neo_csv,No
2022,15,KAB GUNUNG KIDUL,0.806,modis_neo_csv,No
2022,15,KAB KULON PROGO,0.746,modis_neo_csv,No
2022,15,KAB SLEMAN,0.597,modis_neo_csv,No
2022,15,KOTA YOGYAKARTA,0.624,modis_neo_csv,No
2022,16,KAB BANTUL,0.652,modis_neo_csv,No
2022,16,KAB GUNUNG KIDUL,0.806,modis_neo_csv,No
2022,16,KAB KULON PROGO,0.746,modis_neo_csv,No
2022,16,KAB SLEMAN,0.597,modis_neo_csv,No
2022,16,KOTA YOGYAKARTA,0.624,modis_neo_csv,No
2022,17,KAB BANTUL,0.691,modis_neo_csv,No
2022,17,KAB GUNUNG KIDUL,0.754,modis_neo_csv,No
2022,17,KAB KULON PROGO,0.778,modis_neo_csv,No
2022,17,KAB SLEMAN,0.601,modis_neo_csv,No
2022,17,KOTA YOGYAKARTA,0.617,modis_neo_csv,No
2022,18,KAB BANTUL,0.691,modis_neo_csv,No
2022,18,KAB GUNUNG KIDUL,0.754,modis_neo_csv,No
2022,18,KAB KULON PROGO,0.778,modis_neo_csv,No
2022,18,KAB SLEMAN,0.601,modis_neo_csv,No
2022,18,KOTA YOGYAKARTA,0.617,modis_neo_csv,No
2022,19,KAB BANTUL,0.668,modis_neo_csv,No
2022,19,KAB GUNUNG KIDUL,0.727,modis_neo_csv,No
2022,19,KAB KULON PROGO,0.794,modis_neo_csv,No
2022,19,KAB SLEMAN,0.62,modis_neo_csv,No
2022,19,KOTA YOGYAKARTA,0.613,modis_neo_csv,No
2022,20,KAB BANTUL,0.668,modis_neo_csv,No
2022,20,KAB GUNUNG KIDUL,0.727,modis_neo_csv,No
2022,20,KAB KULON PROGO,0.794,modis_neo_csv,No
2022,20,KAB SLEMAN,0.62,modis_neo_csv,No
2022,20,KOTA YOGYAKARTA,0.613,modis_neo_csv,No
2022,21,KAB BANTUL,0.668,modis_neo_csv,No
2022,21,KAB GUNUNG KIDUL,0.727,modis_neo_csv,No
2022,21,KAB KULON PROGO,0.794,modis_neo_csv,No
2022,21,KAB SLEMAN,0.62,modis_neo_csv,No
2022,21,KOTA YOGYAKARTA,0.613,modis_neo_csv,No
2022,22,KAB BANTUL,0.723,modis_neo_csv,No
2022,22,KAB GUNUNG KIDUL,0.75,modis_neo_csv,No
2022,22,KAB KULON PROGO,0.794,modis_neo_csv,No
2022,22,KAB SLEMAN,0.66,modis_neo_csv,No
2022,22,KOTA YOGYAKARTA,0.628,modis_neo_csv,No
2022,23,KAB BANTUL,0.723,modis_neo_csv,No
2022,23,KAB GUNUNG KIDUL,0.75,modis_neo_csv,No
2022,23,KAB KULON PROGO,0.794,modis_neo_csv,No
2022,23,KAB SLEMAN,0.66,modis_neo_csv,No
